Date,Open,High,Low,Close,Adj Close,Volume,Day
8/18/1976,2.5622,2.5622,2.5622,2.5622,1.788043,19500,1
8/19/1976,2.549578,2.549578,2.549578,2.549578,1.779235,500,2
8/20/1976,2.536956,2.536956,2.536956,2.536956,1.770427,8000,3
8/23/1976,2.461226,2.461226,2.461226,2.461226,1.717577,1000,4
8/24/1976,2.435982,2.435982,2.435982,2.435982,1.699961,7500,5
8/25/1976,2.41074,2.41074,2.41074,2.41074,1.682345,8000,6
8/26/1976,2.41074,2.41074,2.41074,2.41074,1.682345,500,7
8/27/1976,2.499092,2.499092,2.499092,2.499092,1.744003,2500,8
8/30/1976,2.448604,2.448604,2.448604,2.448604,1.70877,40000,9
8/31/1976,2.448604,2.448604,2.448604,2.448604,1.70877,500,10
9/1/1976,2.461226,2.461226,2.461226,2.461226,1.717577,500,11
9/2/1976,2.423362,2.423362,2.423362,2.423362,1.691154,65000,12
9/3/1976,2.385496,2.385496,2.385496,2.385496,1.664729,500,13
9/7/1976,2.322388,2.322388,2.322388,2.322388,1.620689,33500,14
9/8/1976,2.33501,2.33501,2.33501,2.33501,1.629498,32000,15
9/9/1976,2.322388,2.322388,2.322388,2.322388,1.620689,1000,16
9/10/1976,2.360252,2.360252,2.360252,2.360252,1.647113,500,17
9/13/1976,2.309766,2.309766,2.309766,2.309766,1.61188,114500,18
9/14/1976,2.297144,2.297144,2.297144,2.297144,1.603072,22500,19
9/15/1976,2.297144,2.297144,2.297144,2.297144,1.603072,32000,20
9/16/1976,2.25928,2.25928,2.25928,2.25928,1.576648,67000,21
9/17/1976,2.25928,2.25928,2.25928,2.25928,1.576648,500,22
9/20/1976,2.25928,2.25928,2.25928,2.25928,1.576648,500,23
9/21/1976,2.25928,2.25928,2.25928,2.25928,1.576648,80500,24
9/22/1976,2.25928,2.25928,2.25928,2.25928,1.576648,1000,25
9/23/1976,2.25928,2.25928,2.25928,2.25928,1.576648,500,26
9/24/1976,2.25928,2.25928,2.25928,2.25928,1.576648,2500,27
9/27/1976,2.246658,2.246658,2.246658,2.246658,1.56784,500,28
9/28/1976,2.246658,2.246658,2.246658,2.246658,1.56784,44000,29
9/29/1976,2.271902,2.271902,2.271902,2.271902,1.585457,22500,30
9/30/1976,2.25928,2.25928,2.25928,2.25928,1.576648,500,31
10/1/1976,2.246658,2.246658,2.246658,2.246658,1.56784,26000,32
10/4/1976,2.246658,2.246658,2.246658,2.246658,1.56784,500,33
10/5/1976,2.25928,2.25928,2.25928,2.25928,1.576648,8000,34
10/6/1976,2.271902,2.271902,2.271902,2.271902,1.585457,10000,35
10/7/1976,2.309766,2.309766,2.309766,2.309766,1.61188,8000,36
10/8/1976,2.322388,2.322388,2.322388,2.322388,1.620689,31000,37
10/11/1976,2.309766,2.309766,2.309766,2.309766,1.61188,2500,38
10/12/1976,2.25928,2.25928,2.25928,2.25928,1.576648,17000,39
10/13/1976,2.271902,2.271902,2.271902,2.271902,1.585457,7500,40
10/14/1976,2.284522,2.284522,2.284522,2.284522,1.594264,500,41
10/15/1976,2.25928,2.25928,2.25928,2.25928,1.576648,500,42
10/18/1976,2.33501,2.33501,2.33501,2.33501,1.629498,500,43
10/19/1976,2.271902,2.271902,2.271902,2.271902,1.585457,2500,44
10/20/1976,2.25928,2.25928,2.25928,2.25928,1.576648,500,45
10/21/1976,2.309766,2.309766,2.309766,2.309766,1.61188,44000,46
10/22/1976,2.322388,2.322388,2.322388,2.322388,1.620689,15000,47
10/25/1976,2.372874,2.372874,2.372874,2.372874,1.655921,15000,48
10/26/1976,2.372874,2.372874,2.372874,2.372874,1.655921,2500,49
10/27/1976,2.435982,2.435982,2.435982,2.435982,1.699961,7500,50
10/28/1976,2.48647,2.48647,2.48647,2.48647,1.735194,500,51
10/29/1976,2.461226,2.461226,2.461226,2.461226,1.717577,500,52
11/1/1976,2.461226,2.461226,2.461226,2.461226,1.717577,1000,53
11/3/1976,2.385496,2.385496,2.385496,2.385496,1.664729,25000,54
11/4/1976,2.372874,2.372874,2.372874,2.372874,1.655921,35000,55
11/5/1976,2.309766,2.309766,2.309766,2.309766,1.61188,2500,56
11/8/1976,2.309766,2.309766,2.309766,2.309766,1.61188,8000,57
11/9/1976,2.309766,2.309766,2.309766,2.309766,1.61188,500,58
11/10/1976,2.309766,2.309766,2.309766,2.309766,1.61188,1000,59
11/11/1976,2.423362,2.423362,2.423362,2.423362,1.691154,9000,60
